Tera baap bambani h .. bambani .. ambani nhi #IndvsSA,CAG
Aaj wicket jane per khushi kaam ho hai.... #INDvsUAE,NAG
चौका मारकर इतना उड़ रहे हो 😳 सालों छक्का मारा तब तो नंगा नाच करने लग जाओगे BC तुम मैदान में 😂 #IndVsPak,OAG
"RT @ErVishalInsan: #BlockBusterMSG #MustWatchMSG देखो MSG The Messenger है कमाल
 हर एक की जिंदगी कर देगी खुशियो से माला मालामाल",NAG
शिट #IndvsPak,CAG
छठी बार छठी का दूध पाक को याद दिला देना Team India #IndWins #IndvsPak,OAG
"#INDvsPAK
Fatni shuru pak ki...jai hind",OAG
"@aajtak अरे निर्दयी विजेताओं,जीत हार तो ठीक है,लेकिन क्या किसी ने पड़ोसिओं (पाकिस्तान) से पुछा,कि उन्होंने खाना खाया भी है या नहीं?#IndvsPak",CAG
इस नई सरकार को भुखमरो से निबटना है। केजरी की चड्डी बी उतार लेंगे ये। #KiskiDilli #AAPSweep #AAP,CAG
#IndvsPak Shahzaad OUT!!!!!!!!!!!!! Thoko TAAALIIII... #Indianeedwickets,CAG
"साले जल्दी आउट हो गए ni तो आज @iPoonampandey धीरे-2 सारे कपड़े उतार देती.
#PoonamPandeyKoBulao #IndvsSA",CAG
रमीज राजा बकलंड जल्दी जल्दी में Man of the match की जगह man of the player बोल गया । चुतिया साला ।। #IndvsPak,OAG
"Amit shah ji aap jumla kartey baitho 
@AamAadmiParty development laegi India me
#5SaalKejriwal
#AAPSweep",CAG
"Really ??? ""@newsflickshindi: #BlockBusterMSG इसलिए भी है क्योंकि उसने कई रिकॉर्ड बनाए हैं... http://t.co/K85E4tXQIj http://t.co/qOCdlEWaVY""",NAG
Tumse abhi bhi na ho payega #indvspak,NAG
"#AAPSweep किरण बेदी के सुर बदल गए...मैं हारी हुईं हूँ, मुझे बोलने दीजिये. आज तो 40 साल का अनुभव भी फुस्स हो गया!!",OAG
bc koi @iPoonampandey ko roko. apne wale launde garm ho gaye #IndvsSA,OAG
#RailBudget2015 simply I can say आम जनता का बजट।,NAG
अफ्रीकी जहां धवन के पीछे पडे थे रहाने ने धीरेस् उनकीमार ली।  #IndvsSA,OAG
"#BeefBan se mujhe chinta hai ki aawara bachhdo ki samasya badh jayegi,kaun palega inko,dharm ke liye kheti chaupat karao.",CAG
"ना पेट है रोटी,
ना तन पे है कपडा,
ना ज़मीन पे है मकान,
इंडिया को हराने के सपने देख रहा पाकिस्तान।

#INDvsPAK #जयहिंद #जयहिन्द",OAG
"RT @RoflGandhi_: रोहित ""भैया कुल्फी ढंग से जमी हुई नहीं है""
कुल्फी वाला ""चुपचाप ले ले, तेरे से तो ज्यादा ही जमी हुई है"" #IndvsSA",OAG
#IndvsSA  Chokers Will Remains Choker Forever _/\_,OAG
SA ki bating ka sigrapatan kisi hakin ko dikho #IndvsSa,CAG
"RT @JatinKiDuniya: Lo Aa Gaye Ache Din...
Sab Kuch Hoga Mehnga...
#SuperBudget #SabkaBudget #UnionBudget2015",CAG
"अब ये कौन बोल रहा है कि दिल्ली में फ्री अनलिमिटेड Wi Fi चलाने के लिए ₹49 का रिचार्ज करना होगा।☺☺
7 RCR
Temple
#AAPSweep",CAG
#RailBudget2015 वर्तमान रेल मंत्री इतने हीं हुनर मंद हैं लोगो को स्वप्न देखा गए और लोग विरोध पर उतर आए |,CAG
@Drsarvapriya ये ही लोकतंत्र ली ताकत है #AAPSweep,NAG
"देखा जो कहा वो किया....विपक्ष खत्म ;-)

#AAPSweep 

https://t.co/VreZbkvnWn",NAG
"RT @ETHindi: हमें 1 लाख किलोमीटर सड़कें और बनानी होंगीः अरुण जेटली, वित्त मंत्री #SuperBudget #UnionBudget2015",NAG
"@puneetpossible @jeetensingh और भी हैं पेंच अभी कहानी में
फ्री बिजली फ्री पानी
बाबा जी का ठुल्लू #AAPSweep http://t.co/oRlkq7GpxT",OAG
Bahut hui mehengaayi se maar... Ab ki baar Service Tax Sarkar...!!! #UnionBudget2015,CAG
Har jeet cheen le har se indiawale #aktivfanofthematch #IndvsSA,CAG
"@jayukacha aiso ko laate hi kyu hai... Hey bhagwaaaaan
#IndvsPak  #CWC15",CAG
Yaar main #Beef kyun nahi kha sakta???! #BeefBan ! Wtf!,CAG
"Na Ramzaada.
Na  .....zaada
Delhi wale to AAPzaada nikle..#AAPSweep",OAG
"#MSGinCinemas @Gurmeetramrahim ♥ MSG ♥  हमको सतगुरु प्यार दिया है इतना कैसे बताये कितना कैसे बताये कितना.......
HpyTrue Love Day To ♥ MSG ♥",NAG
#cwc15 #IndvsPak  भारतीय क्रिकेट टीम को और पुरे देश को। बहोत बहोत बधाई भाई लोग अपना #freewifi तो खत्म हुआ सो हम चले घर।,NAG
BJP की बैंड तो पहले ही बजा चुकी AAP ने #AAPSweep http://t.co/ZMrgm9kRqy,OAG
Zor ka zatka Delhi se lage... #BJP #AAP #AAPsweeps #AAPwinsDelhi #AAPSweep #DelhiDecides,CAG
"@MotorolaIndia #IndiaKaMoto #MotoX #IndVsPak
वर्ल्ड कप हमारा था और इस बार भी हम ही इसके सरताज होंगे ।।",NAG
"भरोसा कई बार डरावना हो सकता है, जब बहुत अंधा होने लगे- नेता का जनता पर, जनता का नेता पर.

#DelhiDecides",NAG
"@Gurmeetramrahim #BlockBusterMSG
#MustWatchMSG 
💝  market wali cd nahi khride ge hum papa G...",NAG
"'रेल बजट में क्या है समझ ही नहीं आया, मैं रेल मंत्री से मिलूंगी।'
- सुप्रिया सुले, राकांपा सांसद
Akal honi chahiye.
#RailBudget2015",OAG
"#IndvsSA South african supporters ..tumhari maa ka
chauka .....mauka mauka",OAG
"Koi maderchaud. Pardon my language, Koi maderchaud lokpal bill faad ke mera naseeb decide nahi karega.

#AAPSweep #ATuesday #DelhiDecides",OAG
"AB De Villiers - Kya Ukhaad Loge? 
MS Dhoni - Wicket :p
#IndvsSA #CWC15",OAG
मोदी जी अपना मनहूस 10 लाखिआ सूट नीलाम करने जा रहे हैं? #AAPSweep http://t.co/e6AMTthOnW,OAG
"AAmir Sohail se kiya hua 1996 waala galti ka nateeja- aaj tak paki hamaare samaan muh mein liye ghoom rahe hai
#IndvsPak",OAG
https://t.co/xFUkkquycG बैंचों पाकिस्तानी पटाके तो फोड़ नही पाये । अपना सर और TV ही फोड रहे है । #जयहिन्द #IndvsPak #IndWins #BleedBlue,OAG
"@BJP4India विधायक दल की बैठक कब और कहाँ है? कोई बताएगा प्लीज़.!
#AAPSweep",CAG
"Saale #Kohli, century maar aur dafa ho ja bhainchod!
#IndvsPak #IndWins",OAG
@AarohiShergil @MayankThakur_ 78 run pe allout hoyega india #IndvsSA #CWC15,CAG
"RT @oneindiaHindi: Live बार्बादी की कगार पर दिल्ली भाजपा, आप की 63 सीटें
http://t.co/OmShZZMWFW
#KiskiDilli #DelhiDecides @AamAadmiParty ht…",OAG
#IndvsPak #BleedBlue #IndWins tumse NaA ho jayega #Pakistan http://t.co/SCagyORpPs,OAG
"Jab tak kuch free ka na mile, Indians ko tasalli nahi hoti.

#RailBudget2015",NAG
"भारतीय मीडिया का 80% तक और मुम्बई फिल्म जगत का 90% तक इस्लामीकरण हो चुका है #BeefBan
#AUSvAFG
#NirbhayaInsulted
#IndiasDaughter",OAG
"कांग्रेस शासन में बोलते थे ""महंगाई"" जिसको, 
""मुफ्तखोरी से निजात कहते हैं ""भक्त"" अब उसको ...
#UnionBudget2015 #ModiKaBudget #SabkaBudget",OAG
"Modi aaya Mahamari laya

-Mehngai
-Petrol price or ab
- #SwineFlu


#BeefBan",CAG
"सत्यमेव जयते

#DelhiDecides 
#AAPSweep",NAG
"पेलम पेल मची है भाई....कोई नहीं... 👏👏
#IndvsSA",CAG
"#DelhiVotes पोलिंग बूथ पर लगी मतदाताओं की कतार. देखें चुनाव का लाइव कवरेज #newsmoble , #DelhiDecides",NAG
"अरुन लाल संभोग के बाद बीवी से

अरुन: कैसा रहा मेरा परफार्मेंस? 

बीवी: कड़क शुरुआत लेकिन बाद में काफी संघर्ष और एक शर्मनाक हार! #IndvsSA",CAG
"RT @ayushmishra99: आलू यादव-""पूरी तरह से कम्युनल बजट है भाजपा कम्युनल है"" #RailBudget2015",CAG
"@SrBachchan हथेली पर रखकर नसीब,
हर शख्स अपना मुकद्दर ढूँढ़ता है..
सीखो उस समन्दर से,
जो टकराने के लिए पत्थर ढूँढ़ता है..😀
#shamitabh 😘6/2/15",NAG
"RT @mkkhedawat: Pakistani log jinko bhi support karte hain,  unki halat bhi #Pakistan jaisi hi ho jati hain.
 
#IndvsSA #CWC15",CAG
इमरान ताहिर और अमला के प्रदर्शन से सेकुलर परिवार में शोक की लहर 😂 #IndvsSA,CAG
South Africa ka to balatkar ho gai #IndvsSA  😂😂😂,OAG
"RT @NBT_Sports: #IndvsSA भारत का यादगार प्रदर्शन, वर्ल्ड कप में साउथ अफ्रीका को पहली बार हराया, 130 रनों से रौदा। http://t.co/76Ja6xQhjD",CAG
Kohli kya shelling kar raha hai : Pak Army #IndvsPak #ICCWorldCup2015,CAG
"Jitney run humare Sachin ke hai, utne sq.ft ka poora pakistaan hai!
#IndvsPak #TrollAlert #IndWins",OAG
Pakistan walon....yeh patake kabhi nahi photenge https://t.co/uafA2O1FKi hahahah #IndvsPak #IndWins #CWC15,CAG
"@SirJadeja accrdng to sources.. UAE held meeting with conclusion as हरे रंग की चड्डी भी मत पहनना, India वाले बहुत गांड मरते हैं। #IndvsSA",OAG
"@Gurmeetramrahim #MSGinCinemas 
मैं आँधियों से क्यों डरूँ जबमेरे अंदर तूफ़ान है
मैं मंदिरमस्जिद क्योंजाऊं जबमेरे अंदर हजूर पिताजी बिराजमानहे",NAG
"#RahulOnLeave जाने भी दो अब बेचारे को
पिंड छुड़ा के।",CAG
"Jin toofano mei tumhara ghar urr jata hai
Un toofano mei hum Pakistani apne kache sukhate hein.

Enjoy! #IndvsPak #CricketWorldCup",OAG
#BlockBusterMSG ..sir chadh ke bol raha he MSG ka jadu. http://t.co/nMn0fSW4NX,NAG
#RailBudget2015 जब कभी भी अपर बर्थ पे स्कर्ट में कोई लङकी सोये तो साइड अपर बर्थ मिलने कि सुविधा होनी चाहिये।,OAG
"Itna height ho ke bhi maar kha raha hai yeh :P 
#IndvsPak",CAG
"Nasir: Virat bhai kal plz rehem karna
Virat Kohli:
#IndWins #IndvsPak http://t.co/izKq85s4nj",OAG
